Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,KERELA,Kollam,Anchal,Amaranthus,Other,FAQ,4500,4700,4600,4/14/2021
2,KERELA,Kollam,Chathanoor,Amaranthus,Other,FAQ,3800,4200,4000,4/14/2021
3,KERELA,Kasargod,Manjeswaram,Amaranthus,Amaranthus,FAQ,2600,3000,2800,4/14/2021
4,KERELA,Idukki,Adimali,Amaranthus,Amaranthus,FAQ,3000,3000,3000,4/13/2021
5,KERELA,Alappuzha,Alappuzha,Amaranthus,Other,FAQ,3000,3200,3100,4/13/2021
6,KERELA,Ernakulam,Aluva,Amaranthus,Amaranthus,FAQ,3000,4000,3500,4/13/2021
7,KERELA,Kollam,Anchal,Amaranthus,Other,FAQ,3700,3900,3800,4/13/2021
8,KERELA,Ernakulam,Angamaly,Amaranthus,Amaranthus,FAQ,2000,3000,2500,4/13/2021
9,KERELA,Thiruvananthapuram,Anyara(EEC),Amaranthus,Amaranthus,FAQ,2500,2700,2600,4/13/2021
10,KERELA,Thiruvananthapuram,Attingal,Amaranthus,Other,FAQ,2500,3000,3000,4/13/2021
11,KERELA,Thiruvananthapuram,Chala,Amaranthus,Amaranthus,FAQ,3000,3050,3024,4/13/2021
12,KERELA,Thirssur,Chelakkara,Amaranthus,Other,FAQ,1800,2000,1900,4/13/2021
13,KERELA,Alappuzha,Harippad,Amaranthus,Other,FAQ,3000,3500,3000,4/13/2021
14,KERELA,Kozhikode(Calicut),Kallachi,Amaranthus,Amaranthus,FAQ,2000,2400,2200,4/13/2021
15,KERELA,Alappuzha,Kayamkulam,Amaranthus,Other,FAQ,2500,2700,2600,4/13/2021
16,KERELA,Palakad,Kollengode,Amaranthus,Other,FAQ,8000,10000,9000,4/13/2021
17,KERELA,Malappuram,Kondotty,Amaranthus,Other,FAQ,1500,1700,1600,4/13/2021
18,KERELA,Ernakulam,Kothamangalam,Amaranthus,Other,FAQ,2500,3200,3000,4/13/2021
19,KERELA,Kasargod,Manjeswaram,Amaranthus,Amaranthus,FAQ,2600,3000,2800,4/13/2021
20,KERELA,Kasargod,Neeleswaram,Amaranthus,Other,FAQ,2500,3500,3000,4/13/2021
21,KERELA,Palakad,Palakkad,Amaranthus,Amaranthus,FAQ,2000,2500,2300,4/13/2021
22,KERELA,Palakad,Palakkad,Amaranthus,Other,FAQ,2000,2500,2300,4/13/2021
23,KERELA,Pathanamthitta,Pandalam,Amaranthus,Amaranthus,FAQ,2800,2800,2800,4/13/2021
24,KERELA,Palakad,Pattambi,Amaranthus,Other,FAQ,1800,2000,1900,4/13/2021
25,KERELA,Kannur,Payyannur,Amaranthus,Other,FAQ,3300,3500,3400,4/13/2021
26,KERELA,Ernakulam,Perumbavoor,Amaranthus,Amaranthus,FAQ,2500,3500,3000,4/13/2021
27,TRIPURA,Dhalai,Kulai,Amaranthus,Amaranthus,FAQ,400,600,500,4/13/2021
28,,Unokoti,Pabiacherra,Amaranthus,Amaranthus,FAQ,480,550,520,4/13/2021
29,KERELA,Kollam,Anchal,Amaranthus,Other,FAQ,3500,3700,3600,4/12/2021
30,KERELA,Ernakulam,Angamaly,Amaranthus,Amaranthus,FAQ,2000,3000,2500,4/12/2021
31,KERELA,Thiruvananthapuram,Anyara(EEC),Amaranthus,Amaranthus,FAQ,2500,2700,2600,4/12/2021
32,KERELA,Alappuzha,Cherthala,Amaranthus,Other,FAQ,7500,7600,7550,4/12/2021
33,KERELA,Malappuram,Kottakkal,Amaranthus,Other,FAQ,1800,1900,1860,4/12/2021
34,KERELA,Pathanamthitta,Kuttoor,Amaranthus,Amaranthus,FAQ,2000,2400,2200,4/12/2021
35,KERELA,Kozhikode(Calicut),Mukkom,Amaranthus,Amaranthus,FAQ,1600,2000,1800,4/12/2021
36,KERELA,Thiruvananthapuram,Neyyatinkara,Amaranthus,Amaranthus,FAQ,4300,4500,4400,4/12/2021
37,KERELA,Palakad,Palakkad,Amaranthus,Amaranthus,FAQ,2000,3000,2600,4/12/2021
38,KERELA,Palakad,Palakkad,Amaranthus,Other,FAQ,2000,3000,2600,4/12/2021
39,KERELA,Palakad,Pattambi,Amaranthus,Other,FAQ,1800,2000,1900,4/12/2021
40,KERELA,Kannur,Payyannur,Amaranthus,Other,FAQ,3300,3500,3400,4/12/2021
41,KERELA,Wayanad,Pulpally,Amaranthus,Other,FAQ,1800,2000,1900,4/12/2021
42,KERELA,Kollam,Anchal,Amaranthus,Other,FAQ,4300,4500,4400,4/11/2021
43,KERELA,Alappuzha,Kayamkulam,Amaranthus,Other,FAQ,2600,2800,2700,4/11/2021
44,KERELA,Kasargod,Manjeswaram,Amaranthus,Amaranthus,FAQ,2400,3200,2800,4/11/2021
45,TRIPURA,Dhalai,Kulai,Amaranthus,Amaranthus,FAQ,500,700,600,4/11/2021
46,,Unokoti,Pabiacherra,Amaranthus,Amaranthus,FAQ,500,580,550,4/11/2021
47,KERELA,Kollam,Anchal,Amaranthus,Other,FAQ,3300,3500,3400,4/10/2021
48,KERELA,Thiruvananthapuram,Anyara(EEC),Amaranthus,Amaranthus,FAQ,2500,2700,2600,4/10/2021
49,KERELA,Thiruvananthapuram,Attingal,Amaranthus,Other,FAQ,2000,2500,2500,4/10/2021
50,KERELA,Kollam,Chathanoor,Amaranthus,Other,FAQ,2800,3200,3000,4/10/2021
51,KERELA,Thirssur,Chelakkara,Amaranthus,Other,FAQ,1500,1800,1700,4/10/2021
52,KERELA,Alappuzha,Cherthala,Amaranthus,Other,FAQ,8000,8200,8100,4/10/2021
53,KERELA,Kozhikode(Calicut),Kallachi,Amaranthus,Amaranthus,FAQ,1800,2200,2000,4/10/2021
54,KERELA,Malappuram,Kottakkal,Amaranthus,Other,FAQ,1800,1900,1860,4/10/2021
55,KERELA,Alappuzha,Madhavapuram,Amaranthus,Other,FAQ,3000,3500,3400,4/10/2021
56,KERELA,Kasargod,Manjeswaram,Amaranthus,Amaranthus,FAQ,2400,3200,2800,4/10/2021
57,KERELA,Kozhikode(Calicut),Palayam,Amaranthus,Other,FAQ,1400,1600,1500,4/10/2021
58,KERELA,Kottayam,Pampady,Amaranthus,Amaranthus,FAQ,3500,3900,3700,4/10/2021
59,KERELA,Pathanamthitta,Parakkodu,Amaranthus,Other,FAQ,2000,2200,2200,4/10/2021
60,KERELA,Kannur,Payyannur,Amaranthus,Other,FAQ,3300,3500,3400,4/10/2021
61,KERELA,Ernakulam,Piravam,Amaranthus,Other,FAQ,2500,3000,2800,4/10/2021
62,KERELA,Thiruvananthapuram,Pothencode,Amaranthus,Other,FAQ,3000,3300,3200,4/10/2021
63,KERELA,Pathanamthitta,Ranniangadi,Amaranthus,Amaranthus,FAQ,3000,3100,3000,4/10/2021
64,TRIPURA,Dhalai,Kulai,Amaranthus,Amaranthus,FAQ,500,700,600,4/10/2021
65,,Unokoti,Pabiacherra,Amaranthus,Amaranthus,FAQ,500,600,550,4/10/2021
66,KERELA,Idukki,Adimali,Amaranthus,Amaranthus,FAQ,3000,3000,3000,4/9/2021
