"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"1","HARYANA","Sonipat","Gohana","Water Melon","Other","Large","800","1000","800","4/14/2021"
"2","HIMACHAL PRADESH","Kangra","Kangra","Water Melon","Water Melon","Medium","1500","2000","1750","4/14/2021"
"3","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Water Melon","Other","Medium","3000","5000","4000","4/14/2021"
"4","HIMACHAL PRADESH","Kangra","Kangra(Nagrota Bagwan)","Water Melon","Other","Medium","1800","2000","1900","4/14/2021"
"5","HIMACHAL PRADESH","Kullu","Kullu","Water Melon","Other","Medium","2300","2500","2400","4/14/2021"
"6","HIMACHAL PRADESH","Kangra","Palampur","Water Melon","Other","Medium","1800","2000","1900","4/14/2021"
"7","MADHYA PRADESH","Indore","Indore(F&V)","Water Melon","Water Melon","Medium","600","1200","800","4/14/2021"
"8","MAHARASHTRA","Pune","Pune","Water Melon","Other","FAQ","500","1200","900","4/14/2021"
"9","PUNJAB","Fazilka","Jalalabad","Water Melon","Other","Large","1400","1400","1400","4/14/2021"
"10","UTTAR PRADESH","Saharanpur","Chutmalpur","Water Melon","Water Melon","Medium","1300","1500","1400","4/14/2021"
"11","UTTAR PRADESH","Muzaffarnagar","Khatauli","Water Melon","Water Melon","Medium","580","600","590","4/14/2021"
"12","UTTAR PRADESH","Muzaffarnagar","Shahpur","Water Melon","Water Melon","Medium","510","530","520","4/14/2021"
"13","UTTAR PRADESH","Muzaffarnagar","Thanabhawan","Water Melon","Water Melon","Medium","500","600","560","4/14/2021"
"14","CHHATTISGARH","Bilaspur","Tiphra","Water Melon","Water Melon","Large","500","500","500","4/13/2021"
"15","HARYANA","Faridabad","Faridabad","Water Melon","Other","Large","700","1000","850","4/13/2021"
"16","HARYANA","Sonipat","Gohana","Water Melon","Other","Large","800","1000","800","4/13/2021"
"17","HARYANA","Gurgaon","Gurgaon","Water Melon","Other","Large","1200","1500","1350","4/13/2021"
"18","HARYANA","Ambala","Naraingarh","Water Melon","Water Melon","Medium","800","1500","1000","4/13/2021"
"19","HIMACHAL PRADESH","Kullu","Bhuntar","Water Melon","Other","Medium","2000","2400","2200","4/13/2021"
"20","HIMACHAL PRADESH","Kangra","Kangra","Water Melon","Water Melon","Medium","1800","2200","2000","4/13/2021"
"21","HIMACHAL PRADESH","Kangra","Kangra(Nagrota Bagwan)","Water Melon","Other","Medium","1800","2200","2000","4/13/2021"
"22","HIMACHAL PRADESH","Kullu","Kullu","Water Melon","Other","Medium","2300","2500","2400","4/13/2021"
"23","HIMACHAL PRADESH","Kangra","Palampur","Water Melon","Other","Medium","1800","2000","1900","4/13/2021"
"24","MADHYA PRADESH","Indore","Indore(F&V)","Water Melon","Water Melon","Medium","600","1200","800","4/13/2021"
"25","MAHARASHTRA","Jalgaon","Bhusaval","Water Melon","Other","FAQ","1500","1500","1500","4/13/2021"
"26","MAHARASHTRA","Pune","Pune","Water Melon","Other","FAQ","500","1200","900","4/13/2021"
"27","MAHARASHTRA","Ahmednagar","Shrirampur","Water Melon","Other","FAQ","500","900","700","4/13/2021"
"28","MAHARASHTRA","Sholapur","Solapur","Water Melon","Other","FAQ","500","1600","1000","4/13/2021"
"29","ODISHA","Balasore","Barikpur","Water Melon","Other","Medium","1500","2000","1800","4/13/2021"
"30","ODISHA","Malkangiri","Malkanagiri","Water Melon","Other","Medium","1500","3000","2000","4/13/2021"
"31","ODISHA","Balasore","Nilagiri","Water Melon","Other","Large","1300","1400","1350","4/13/2021"
"32","ODISHA","Angul","Talcher","Water Melon","Other","Large","1200","1800","1500","4/13/2021"
"33","PUNJAB","Fazilka","Abohar","Water Melon","Water Melon","Medium","1450","1750","1550","4/13/2021"
"34","PUNJAB","Nawanshahr","Banga","Water Melon","Other","Medium","1600","1600","1600","4/13/2021"
"35","PUNJAB","Barnala","Barnala","Water Melon","Other","Large","1000","1300","1150","4/13/2021"
"36","PUNJAB","Sangrur","Bhawanigarh","Water Melon","Other","Medium","1600","1600","1600","4/13/2021"
"37","PUNJAB","Ropar (Rupnagar)","Chamkaur Sahib","Water Melon","Other","Medium","1200","1300","1250","4/13/2021"
