slno,statename,districtname,marketname,commodity,variety,grade,minprice,maxprice,modalprice,pricedate
1,MAHARASHTRA,Pune,Pune,Amla(Nelli Kai),Other,FAQ,2500,3000,2800,2021-04-12T18:30:00.000Z
1,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2500,2200,2021-04-13T18:30:00.000Z
1,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3300,3900,3700,2021-04-08T18:30:00.000Z
2,PUNJAB,Fazilka,Abohar,Amla(Nelli Kai),Amla,FAQ,3000,3000,3000,2021-04-12T18:30:00.000Z
2,KARNATAKA,Chikmagalur,Chikkamagalore,Antawala,Antawala,FAQ,4000,4000,4000,2021-03-24T18:30:00.000Z
1,ODISHA,Cuttack,Banki,Almond(Badam),Other,FAQ,3000,4000,3500,2021-01-04T18:30:00.000Z
2,KERELA,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,3000,3000,3000,2021-04-12T18:30:00.000Z
2,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3200,3800,3600,2021-04-07T18:30:00.000Z
3,PUNJAB,Sangrur,Malerkotla,Amla(Nelli Kai),Amla,FAQ,3500,4000,3800,2021-04-12T18:30:00.000Z
3,KERELA,Alappuzha,Alappuzha,Amphophalus,Other,FAQ,2400,2500,2450,2021-04-12T18:30:00.000Z
3,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3300,3900,3700,2021-04-06T18:30:00.000Z
5,RAJASTHAN,Swai Madhopur,Sawai Madhopur,Ambada Seed,Other,FAQ,1575,1655,1600,2021-03-23T18:30:00.000Z
1,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-12T18:30:00.000Z
4,KARNATAKA,Hassan,Hassan,Antawala,Antawala,FAQ,5000,5000,5000,2021-03-23T18:30:00.000Z
4,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,2021-04-12T18:30:00.000Z
4,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3200,3800,3600,2021-04-05T18:30:00.000Z
2,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-11T18:30:00.000Z
5,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,2400,2600,2500,2021-04-12T18:30:00.000Z
5,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3200,3800,3600,2021-04-04T18:30:00.000Z
3,KARNATAKA,Chikmagalur,Chikkamagalore,Antawala,Antawala,FAQ,4000,4000,4000,2021-03-15T18:30:00.000Z
6,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,2021-04-12T18:30:00.000Z
6,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,2021-04-04T18:30:00.000Z
3,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-09T18:30:00.000Z
1,CHHATTISGARH,Narayanpur,Narayanpur,Antawala,Other,FAQ,9000,10000,9500,2021-02-24T18:30:00.000Z
7,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2200,2100,2021-04-12T18:30:00.000Z
7,ODISHA,Koraput,Koraput,White Pumpkin,Other,FAQ,1300,1500,1400,2021-04-03T18:30:00.000Z
7,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3600,4000,3800,2021-04-02T18:30:00.000Z
4,JHARKHAND,Lohardaga,Lohardaga,Wheat Atta,Wheat Atta,FAQ,2400,2600,2500,2021-04-08T18:30:00.000Z
8,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,2021-04-12T18:30:00.000Z
8,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3900,4100,4000,2021-03-31T18:30:00.000Z
1,HIMACHAL PRADESH,Kangra,Kangra(Jassour),Turnip,Other,FAQ,500,600,550,2021-04-11T18:30:00.000Z
4,KERELA,Malappuram,Kottakkal,Amla(Nelli Kai),Other,FAQ,5300,5400,5350,2021-04-11T18:30:00.000Z
9,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,2021-04-12T18:30:00.000Z
9,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,2021-03-31T18:30:00.000Z
10,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1700,1900,1800,2021-04-12T18:30:00.000Z
10,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3600,4000,3800,2021-03-30T18:30:00.000Z
3,KERELA,Kollam,Sasthamkotta,Turmeric (raw),Other,FAQ,1500,2100,1800,2021-04-08T18:30:00.000Z
5,KERELA,Malappuram,Kottakkal,Amla(Nelli Kai),Other,FAQ,4600,4700,4650,2021-04-09T18:30:00.000Z
1,CHHATTISGARH,Koria,Baikunthpur,Ambada Seed,Ambada Seed,FAQ,600,600,600,2021-01-24T18:30:00.000Z
11,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,2000,2200,2100,2021-04-12T18:30:00.000Z
11,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,2021-03-30T18:30:00.000Z
6,KERELA,Malappuram,Perinthalmanna,Amla(Nelli Kai),Amla,FAQ,4800,5200,5000,2021-04-09T18:30:00.000Z
2,GUJARAT,Surat,Songadh,Ambada Seed,Ambada Seed,FAQ,4900,5000,4950,2021-01-19T18:30:00.000Z
2,JAMMU AND KASHMIR,Srinagar,Parimpore,Turnip,Other,FAQ,1000,1200,1100,2021-04-11T18:30:00.000Z
12,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,2000,2200,2100,2021-04-12T18:30:00.000Z
12,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3700,3900,3800,2021-03-29T18:30:00.000Z
13,KERELA,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,3600,4000,3800,2021-04-12T18:30:00.000Z
13,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3600,4000,3800,2021-03-28T18:30:00.000Z
7,KERELA,Idukki,Kattappana,Amla(Nelli Kai),Other,FAQ,2500,3000,2600,2021-04-08T18:30:00.000Z
3,PUNJAB,Sangrur,Malerkotla,Turnip,Other,FAQ,750,1000,900,2021-04-11T18:30:00.000Z
14,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,1800,2000,1800,2021-04-12T18:30:00.000Z
14,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2400,3000,2600,2021-03-28T18:30:00.000Z
15,TELANGANA,Hyderabad,Bowenpally,White Pumpkin,Other,FAQ,400,800,600,2021-03-30T18:30:00.000Z
8,KERELA,Malappuram,Kottakkal,Amla(Nelli Kai),Other,FAQ,4700,4800,4750,2021-04-08T18:30:00.000Z
15,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2200,4000,3000,2021-04-12T18:30:00.000Z
15,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4100,4400,4300,2021-03-25T18:30:00.000Z
4,HIMACHAL PRADESH,Kangra,Kangra(Jassour),Turnip,Other,FAQ,600,700,650,2021-04-09T18:30:00.000Z
16,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,2021-04-11T18:30:00.000Z
16,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4200,4500,4400,2021-03-24T18:30:00.000Z
9,KERELA,Malappuram,Perinthalmanna,Amla(Nelli Kai),Amla,FAQ,4800,5200,5000,2021-04-08T18:30:00.000Z
17,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,2200,2400,2300,2021-04-11T18:30:00.000Z
17,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4100,4400,4300,2021-03-23T18:30:00.000Z
5,UTTAR PRADESH,Sultanpur,Jafarganj,Wheat Atta,Wheat Atta,FAQ,2150,2250,2180,2021-04-08T18:30:00.000Z
18,ODISHA,Koraput,Koraput,White Pumpkin,Other,FAQ,1300,1500,1400,2021-03-29T18:30:00.000Z
10,UTTAR PRADESH,Allahabad,Jasra,Amla(Nelli Kai),Amla,FAQ,1975,1975,1975,2021-04-08T18:30:00.000Z
