Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,KARNATAKA,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,5856,5951,5903,4/13/2021
2,KARNATAKA,Bellary,Bellary,Alasande Gram,Alasande Gram,FAQ,5463,5463,5463,4/10/2021
3,KARNATAKA,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,3808,5686,5269,4/10/2021
4,KARNATAKA,Gadag,Mundaragi,Alasande Gram,Alasande Gram,FAQ,5089,5727,5604,4/10/2021
5,KARNATAKA,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,5850,6200,6025,4/9/2021
6,KARNATAKA,Gulbarga,Gulbarga,Alasande Gram,Alasande Gram,FAQ,4500,5500,5000,4/9/2021
7,KARNATAKA,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,2665,5730,4531,4/9/2021
8,KARNATAKA,Gadag,Mundaragi,Alasande Gram,Alasande Gram,FAQ,5559,5699,5636,4/9/2021
9,KARNATAKA,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,5850,6200,6025,4/8/2021
10,KARNATAKA,Bellary,Bellary,Alasande Gram,Alasande Gram,FAQ,5589,5589,5589,4/8/2021
11,KARNATAKA,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,2768,5739,5026,4/8/2021
12,KARNATAKA,Gadag,Mundaragi,Alasande Gram,Alasande Gram,FAQ,5010,5672,5610,4/8/2021
13,KARNATAKA,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,6200,6800,6500,4/7/2021
14,KARNATAKA,Bellary,Bellary,Alasande Gram,Alasande Gram,FAQ,5729,5729,5729,4/7/2021
15,KARNATAKA,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,3529,5740,4732,4/7/2021
16,KARNATAKA,Gadag,Mundaragi,Alasande Gram,Alasande Gram,FAQ,5209,5729,5609,4/7/2021
17,KARNATAKA,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,5875,5875,5875,4/6/2021
18,KARNATAKA,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,6200,6800,6500,4/6/2021
19,KARNATAKA,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,2919,5729,4929,4/6/2021
20,KARNATAKA,Gadag,Mundaragi,Alasande Gram,Alasande Gram,FAQ,5559,5721,5696,4/6/2021
21,KARNATAKA,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,2885,5911,5569,4/5/2021
22,KARNATAKA,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,6200,6800,6500,4/5/2021
23,KARNATAKA,Bellary,Bellary,Alasande Gram,Alasande Gram,FAQ,5469,5709,5622,4/5/2021
24,KARNATAKA,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,2489,6009,5447,4/5/2021
25,KARNATAKA,Gadag,Mundaragi,Alasande Gram,Alasande Gram,FAQ,5009,5703,5643,4/5/2021
26,KARNATAKA,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,5759,5881,5829,4/3/2021
27,KARNATAKA,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,5800,6100,5950,4/3/2021
28,KARNATAKA,Davangere,Davangere,Alasande Gram,Alasande Gram,FAQ,4150,4150,4150,4/3/2021
29,KARNATAKA,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,3099,5405,4119,4/3/2021
30,KARNATAKA,Bagalkot,Bagalakot,Alasande Gram,Alasande Gram,Medium,5741,5816,5797,4/1/2021
31,KARNATAKA,Bangalore,Bangalore,Alasande Gram,Alasande Gram,FAQ,5800,6100,5950,4/1/2021
32,KARNATAKA,Bellary,Bellary,Alasande Gram,Alasande Gram,FAQ,5702,5702,5702,4/1/2021
