Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3300,3900,3700,4/9/2021
2,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3200,3800,3600,4/8/2021
3,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3300,3900,3700,4/7/2021
4,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3200,3800,3600,4/6/2021
5,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3200,3800,3600,4/5/2021
6,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,4/5/2021
7,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3600,4000,3800,4/3/2021
8,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3900,4100,4000,4/1/2021
9,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,4/1/2021
10,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3600,4000,3800,3/31/2021
11,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2500,3000,2800,3/31/2021
12,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3700,3900,3800,3/30/2021
13,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,3600,4000,3800,3/29/2021
14,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,2400,3000,2600,3/29/2021
15,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4100,4400,4300,3/26/2021
16,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4200,4500,4400,3/25/2021
17,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4100,4400,4300,3/24/2021
18,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4200,4500,4400,3/23/2021
19,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,4000,4500,4300,3/22/2021
20,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2300,2700,2500,3/20/2021
21,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2400,2800,2600,3/19/2021
22,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2400,2800,2600,3/18/2021
23,KARNATAKA,Bangalore,"Binny Mill (F&V), Bangalore",Alsandikai,Alsandikai,FAQ,2300,2900,2700,3/17/2021
24,KARNATAKA,Udupi,Udupi,Alsandikai,Alsandikai,FAQ,3000,3500,3200,3/17/2021
