Sl no.,State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2500,2200,4/14/2021
2,KERELA,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,3000,3000,3000,4/13/2021
3,KERELA,Alappuzha,Alappuzha,Amphophalus,Other,FAQ,2400,2500,2450,4/13/2021
4,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,4/13/2021
5,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,2400,2600,2500,4/13/2021
6,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2200,2000,4/13/2021
7,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2000,2200,2100,4/13/2021
8,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,4/13/2021
9,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/13/2021
10,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1700,1900,1800,4/13/2021
11,KERELA,Malappuram,Kondotty,Amphophalus,Other,FAQ,2000,2200,2100,4/13/2021
12,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,2000,2200,2100,4/13/2021
13,KERELA,Kasargod,Neeleswaram,Amphophalus,Other,FAQ,3600,4000,3800,4/13/2021
14,KERELA,Kozhikode(Calicut),Quilandy,Amphophalus,Other,FAQ,1800,2000,1800,4/13/2021
15,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2200,4000,3000,4/13/2021
16,KERELA,Ernakulam,Angamaly,Amphophalus,Amphophalus,FAQ,2500,3500,3000,4/12/2021
17,KERELA,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,2200,2400,2300,4/12/2021
18,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,1800,2100,2000,4/12/2021
19,KERELA,Alappuzha,Harippad,Amphophalus,Other,FAQ,2000,2500,2000,4/12/2021
20,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,1700,1800,1750,4/12/2021
21,KERELA,Alappuzha,Mannar,Amphophalus,Other,FAQ,1800,2100,2000,4/12/2021
22,KERELA,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2200,2600,2400,4/12/2021
23,KERELA,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,3300,3500,3400,4/12/2021
24,KERELA,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,2400,3600,2800,4/12/2021
25,KERELA,Alappuzha,Kayamkulam,Amphophalus,Other,FAQ,1800,2000,1900,4/11/2021
26,KERELA,Thiruvananthapuram,Attingal,Amphophalus,Other,FAQ,1800,2500,2000,4/10/2021
27,KERELA,Kollam,Chathanoor,Amphophalus,Other,FAQ,1800,2200,2000,4/10/2021
28,KERELA,Alappuzha,Chengannur,Amphophalus,Other,FAQ,1700,2000,1900,4/10/2021
29,KERELA,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2000,2400,2200,4/10/2021
30,KERELA,Malappuram,Kottakkal,Amphophalus,Other,FAQ,2000,2150,2100,4/10/2021
