"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"1","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2250","4/13/2021"
"2","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","1800","2200","2000","4/10/2021"
"3","KERELA","Kollam","Sasthamkotta","Turmeric (raw)","Other","FAQ","1500","2100","1800","4/9/2021"
"4","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","4/8/2021"
"5","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","4/7/2021"
"6","KERELA","Kollam","Sasthamkotta","Turmeric (raw)","Other","FAQ","1600","2000","1800","4/6/2021"
"7","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2400","2260","4/3/2021"
"8","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","4/2/2021"
"9","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","4/1/2021"
"10","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1750","1375","3/31/2021"
"11","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","3/31/2021"
"12","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1800","1400","3/30/2021"
"13","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","3/30/2021"
"14","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2400","2260","3/29/2021"
"15","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","1750","1475","3/27/2021"
"16","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","3/27/2021"
"17","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","1800","1500","3/26/2021"
"18","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","1800","1500","3/26/2021"
"19","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1900","2300","2100","3/26/2021"
"20","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","3/26/2021"
"21","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","1500","1350","3/25/2021"
"22","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","1800","1500","3/25/2021"
"23","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","1500","1350","3/24/2021"
"24","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","1800","1550","3/24/2021"
"25","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2250","2200","3/24/2021"
"26","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1200","1800","1500","3/23/2021"
"27","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","1800","1550","3/22/2021"
"28","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","3/22/2021"
"29","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","3/20/2021"
"30","MEGHALAYA","South West Garo Hills","Ampati","Turmeric (raw)","Other","FAQ","2000","3000","2500","3/20/2021"
"31","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","3/20/2021"
"32","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1300","2000","1650","3/19/2021"
