"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"1","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","500","600","550","4/12/2021"
"2","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","1000","1200","1100","4/12/2021"
"3","PUNJAB","Sangrur","Malerkotla","Turnip","Other","FAQ","750","1000","900","4/12/2021"
"4","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","600","700","650","4/10/2021"
"5","PUNJAB","Jalandhar","Bilga","Turnip","Other","FAQ","4000","4200","4100","4/10/2021"
"6","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","600","700","650","4/9/2021"
"7","PUNJAB","Hoshiarpur","Hoshiarpur(Sham Churasi)","Turnip","Turnip","FAQ","1000","1700","1500","4/9/2021"
"8","PUNJAB","Hoshiarpur","Hoshiarpur(Sham Churasi)","Turnip","Turnip","FAQ","1500","2000","1800","4/8/2021"
"9","HIMACHAL PRADESH","Kangra","Kangra(Baijnath)","Turnip","Other","FAQ","1400","1400","1400","4/7/2021"
"10","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","1000","1200","1100","4/7/2021"
"11","PUNJAB","Hoshiarpur","Hoshiarpur(Sham Churasi)","Turnip","Turnip","FAQ","1000","1500","1200","4/7/2021"
"12","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","1000","1200","1100","4/6/2021"
"13","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","1200","1400","1300","4/6/2021"
"14","PUNJAB","Hoshiarpur","Hoshiarpur","Turnip","Other","FAQ","700","1000","800","4/6/2021"
"15","PUNJAB","Hoshiarpur","Hoshiarpur(Sham Churasi)","Turnip","Turnip","FAQ","1000","1400","1200","4/6/2021"
"16","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","900","1100","1000","4/5/2021"
"17","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","1200","1400","1300","4/5/2021"
"18","PUNJAB","Hoshiarpur","Hoshiarpur","Turnip","Other","FAQ","800","1200","1000","4/5/2021"
"19","PUNJAB","Hoshiarpur","Hoshiarpur","Turnip","Other","FAQ","1000","1400","1200","4/4/2021"
"20","HIMACHAL PRADESH","Shimla","Shimla","Turnip","Other","FAQ","1000","1200","1100","4/3/2021"
"21","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","1000","1200","1100","4/3/2021"
"22","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","700","600","4/3/2021"
"23","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","1000","1200","1100","4/2/2021"
"24","PUNJAB","Hoshiarpur","Hoshiarpur","Turnip","Other","FAQ","1400","1600","1500","4/2/2021"
"25","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","800","600","4/2/2021"
"26","JAMMU AND KASHMIR","Jammu","Akhnoor","Turnip","Other","FAQ","1600","1800","1700","4/1/2021"
"27","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","900","1100","1000","4/1/2021"
"28","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","700","600","4/1/2021"
"29","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","500","600","550","3/31/2021"
"30","HIMACHAL PRADESH","Kangra","Palampur","Turnip","Other","FAQ","700","800","750","3/31/2021"
"31","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","1000","1200","1100","3/31/2021"
"32","JAMMU AND KASHMIR","Jammu","Narwal Jammu (F&V)","Turnip","Turnip","FAQ","500","800","650","3/31/2021"
"33","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","1000","1200","1100","3/31/2021"
"34","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","800","600","3/31/2021"
"35","PUNJAB","Sangrur","Malerkotla","Turnip","Other","FAQ","700","900","800","3/31/2021"
"36","HIMACHAL PRADESH","Hamirpur","Hamirpur","Turnip","Other","FAQ","1000","1000","1000","3/30/2021"
"37","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","500","600","550","3/30/2021"
"38","HIMACHAL PRADESH","Kangra","Palampur","Turnip","Other","FAQ","700","800","750","3/30/2021"
"39","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","1000","1200","1100","3/30/2021"
"40","JAMMU AND KASHMIR","Jammu","Narwal Jammu (F&V)","Turnip","Turnip","FAQ","400","700","550","3/30/2021"
"41","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","900","1100","1000","3/30/2021"
"42","PUNJAB","Amritsar","Ajnala","Turnip","Turnip","FAQ","500","600","500","3/30/2021"
"43","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","800","600","3/30/2021"
"44","PUNJAB","Sangrur","Malerkotla","Turnip","Other","FAQ","500","700","650","3/30/2021"
"45","HIMACHAL PRADESH","Hamirpur","Hamirpur","Turnip","Other","FAQ","1000","1000","1000","3/29/2021"
"46","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","500","600","550","3/29/2021"
"47","JAMMU AND KASHMIR","Jammu","Narwal Jammu (F&V)","Turnip","Turnip","FAQ","500","700","600","3/29/2021"
"48","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","900","1200","1050","3/29/2021"
"49","PUNJAB","Hoshiarpur","Hoshiarpur","Turnip","Other","FAQ","700","900","800","3/29/2021"
"50","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","700","600","3/29/2021"
"51","PUNJAB","Sangrur","Malerkotla","Turnip","Other","FAQ","450","700","600","3/29/2021"
"52","PUNJAB","Hoshiarpur","Hoshiarpur","Turnip","Other","FAQ","500","800","700","3/28/2021"
"53","PUNJAB","Sangrur","Malerkotla","Turnip","Other","FAQ","450","700","600","3/28/2021"
"54","HIMACHAL PRADESH","Hamirpur","Hamirpur","Turnip","Other","FAQ","1000","1000","1000","3/27/2021"
"55","HIMACHAL PRADESH","Kangra","Kangra","Turnip","Other","FAQ","800","1000","900","3/27/2021"
"56","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","600","700","650","3/27/2021"
"57","HIMACHAL PRADESH","Kangra","Palampur","Turnip","Other","FAQ","800","1000","900","3/27/2021"
"58","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","900","1100","1000","3/27/2021"
"59","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","900","1200","1050","3/27/2021"
"60","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","600","500","3/27/2021"
"61","PUNJAB","Sangrur","Malerkotla","Turnip","Other","FAQ","400","650","500","3/27/2021"
"62","HIMACHAL PRADESH","Hamirpur","Hamirpur","Turnip","Other","FAQ","1000","1000","1000","3/26/2021"
"63","HIMACHAL PRADESH","Hamirpur","Hamirpur(Nadaun)","Turnip","Other","FAQ","1000","1000","1000","3/26/2021"
"64","HIMACHAL PRADESH","Kangra","Kangra(Jaisinghpur)","Turnip","Other","FAQ","800","1000","900","3/26/2021"
"65","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","600","700","650","3/26/2021"
"66","HIMACHAL PRADESH","Kangra","Palampur","Turnip","Other","FAQ","800","1000","900","3/26/2021"
"67","JAMMU AND KASHMIR","Jammu","Narwal Jammu (F&V)","Turnip","Turnip","FAQ","400","600","500","3/26/2021"
"68","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","900","1100","1000","3/26/2021"
"69","HIMACHAL PRADESH","Hamirpur","Hamirpur","Turnip","Other","FAQ","1000","1000","1000","3/26/2021"
"70","HIMACHAL PRADESH","Hamirpur","Hamirpur(Nadaun)","Turnip","Other","FAQ","1000","1000","1000","3/26/2021"
"71","HIMACHAL PRADESH","Kangra","Kangra(Jaisinghpur)","Turnip","Other","FAQ","800","1000","900","3/26/2021"
"72","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","600","700","650","3/26/2021"
"73","HIMACHAL PRADESH","Kangra","Palampur","Turnip","Other","FAQ","800","1000","900","3/26/2021"
"74","JAMMU AND KASHMIR","Jammu","Narwal Jammu (F&V)","Turnip","Turnip","FAQ","400","600","500","3/26/2021"
"75","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","900","1100","1000","3/26/2021"
"76","HIMACHAL PRADESH","Kangra","Kangra(Baijnath)","Turnip","Other","FAQ","1200","1200","1200","3/25/2021"
"77","HIMACHAL PRADESH","Kangra","Palampur","Turnip","Other","FAQ","800","1100","1000","3/25/2021"
"78","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","900","1100","1000","3/25/2021"
"79","JAMMU AND KASHMIR","Jammu","Narwal Jammu (F&V)","Turnip","Turnip","FAQ","300","600","450","3/25/2021"
"80","JAMMU AND KASHMIR","Srinagar","Parimpore","Turnip","Other","FAQ","800","1000","900","3/25/2021"
"81","PUNJAB","Amritsar","Ajnala","Turnip","Turnip","FAQ","550","650","550","3/25/2021"
"82","PUNJAB","Jalandhar","Jalandhar City(Jalandhar)","Turnip","Turnip","FAQ","400","600","500","3/25/2021"
"83","PUNJAB","Sangrur","Malerkotla","Turnip","Other","FAQ","550","850","700","3/25/2021"
"84","HIMACHAL PRADESH","Hamirpur","Hamirpur","Turnip","Other","FAQ","1000","1000","1000","3/24/2021"
"85","HIMACHAL PRADESH","Hamirpur","Hamirpur(Nadaun)","Turnip","Other","FAQ","1000","1000","1000","3/24/2021"
"86","HIMACHAL PRADESH","Kangra","Kangra(Jaisinghpur)","Turnip","Other","FAQ","800","1000","900","3/24/2021"
"87","HIMACHAL PRADESH","Kangra","Kangra(Jassour)","Turnip","Other","FAQ","600","700","650","3/24/2021"
"88","HIMACHAL PRADESH","Kangra","Palampur","Turnip","Other","FAQ","800","1000","900","3/24/2021"
"89","JAMMU AND KASHMIR","Jammu","Batote","Turnip","Other","FAQ","900","1100","1000","3/24/2021"
