"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"1","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/13/2021"
"2","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/12/2021"
"3","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/10/2021"
"4","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/9/2021"
"5","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2150","2250","2180","4/9/2021"
"6","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/8/2021"
"7","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/7/2021"
"8","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/6/2021"
"9","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/5/2021"
"10","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/3/2021"
"11","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2100","2200","2150","4/2/2021"
"12","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2100","2200","2150","4/2/2021"
"13","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","4/1/2021"
"14","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/31/2021"
"15","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/27/2021"
"16","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/26/2021"
"17","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2050","2150","2100","3/26/2021"
"18","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2100","2210","2180","3/26/2021"
"19","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/26/2021"
"20","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2050","2150","2100","3/26/2021"
"21","UTTAR PRADESH","Sultanpur","Sultanpur","Wheat Atta","Wheat Atta","FAQ","2100","2210","2180","3/26/2021"
"22","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/25/2021"
"23","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/24/2021"
"24","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/23/2021"
"25","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/22/2021"
"26","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/20/2021"
"27","JHARKHAND","Lohardaga","Lohardaga","Wheat Atta","Wheat Atta","FAQ","2400","2600","2500","3/19/2021"
"28","UTTAR PRADESH","Sultanpur","Jafarganj","Wheat Atta","Wheat Atta","FAQ","2050","2150","2100","3/19/2021"
