"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"1","GUJARAT","Dahod","Dahod","Wheat","147 Average","FAQ","1950","2125","2025","4/14/2021"
"2","GUJARAT","Dahod","Dahod","Wheat","Lokwan","FAQ","1950","2125","2025","4/14/2021"
"3","GUJARAT","Rajkot","Dhoraji","Wheat","Lokwan","FAQ","1515","1670","1615","4/14/2021"
"4","GUJARAT","Bharuch","Jambusar","Wheat","Other","FAQ","1700","2300","2000","4/14/2021"
"5","MADHYA PRADESH","Ratlam","A lot","Wheat","Medium","FAQ","1701","1812","1795","4/14/2021"
"6","MADHYA PRADESH","Dewas","Khategaon","Wheat","Other","FAQ","1760","2010","1890","4/14/2021"
"7","MADHYA PRADESH","Neemuch","Neemuch","Wheat","Lokwan","FAQ","1660","2285","1790","4/14/2021"
"8","MADHYA PRADESH","Singroli","Singroli","Wheat","Other","FAQ","1975","1975","1975","4/14/2021"
"9","MAHARASHTRA","Nashik","Lasalgaon(Niphad)","Wheat","Maharashtra 2189","FAQ","1651","2001","1831","4/14/2021"
"10","MAHARASHTRA","Pune","Pune","Wheat","Sharbati","FAQ","3700","4800","4300","4/14/2021"
"11","PUNJAB","Muktsar","Bariwala","Wheat","Other","FAQ","1975","1975","1975","4/14/2021"
"12","","Mohali","Dera Bassi","Wheat","147 Average","FAQ","1975","1975","1975","4/14/2021"
"13","RAJASTHAN","Chittorgarh","Begu","Wheat","Other","FAQ","1650","1850","1840","4/14/2021"
"14","RAJASTHAN","Swai Madhopur","Gangapurcity(Old Lal mandi)","Wheat","Other","FAQ","1500","1870","1685","4/14/2021"
"15","RAJASTHAN","Chittorgarh","Kapasan","Wheat","Lokwan","FAQ","1450","1840","1640","4/14/2021"
"16","RAJASTHAN","Dausa","Lalsot","Wheat","Other","FAQ","1600","1830","1750","4/14/2021"
"17","","Badaun","Babrala","Wheat","Dara","FAQ","1650","1855","1800","4/14/2021"
"18","UTTAR PRADESH","Shahjahanpur","Badda","Wheat","Dara","FAQ","1975","1975","1975","4/14/2021"
"19","","Bareilly","Bahedi","Wheat","Dara","FAQ","1975","1975","1975","4/14/2021"
"20","UTTAR PRADESH","Deoria","Barhaj","Wheat","Dara","FAQ","1970","1980","1975","4/14/2021"
"21","UTTAR PRADESH","Farukhabad","Kamlaganj","Wheat","Dara","FAQ","1970","1980","1975","4/14/2021"
"22","","Bareilly","Richha","Wheat","Local","FAQ","1975","1975","1975","4/14/2021"
"23","UTTAR PRADESH","Hathras","Shadabad","Wheat","Dara","FAQ","1975","1975","1975","4/14/2021"
"24","WEST BENGAL","Bankura","Bankura Sadar","Wheat","Sonalika","FAQ","1925","1985","1975","4/14/2021"
"25","WEST BENGAL","Bankura","Indus(Bankura Sadar)","Wheat","Sonalika","FAQ","1925","1985","1975","4/14/2021"
"26","CHHATTISGARH","Bilaspur","Bilaspur","Wheat","Local","FAQ","1662","1662","1662","4/13/2021"
"27","CHHATTISGARH","Kabirdham","Kawardha","Wheat","Deshi","FAQ","1500","1500","1500","4/13/2021"
"28","CHHATTISGARH","Kabirdham","Pipriya","Wheat","Deshi","FAQ","1400","1400","1400","4/13/2021"
"29","GUJARAT","Amreli","Amreli","Wheat","Bansi","FAQ","1350","1350","1350","4/13/2021"
"30","GUJARAT","Amreli","Amreli","Wheat","Lokwan","FAQ","1545","1800","1605","4/13/2021"
"31","GUJARAT","Amreli","Amreli","Wheat","Rajasthan Tukdi","FAQ","1500","2505","1720","4/13/2021"
"32","GUJARAT","Amreli","Bagasara","Wheat","Lokwan Gujrat","FAQ","1375","1585","1480","4/13/2021"
"33","GUJARAT","Botad","Botad","Wheat","Other","FAQ","1560","2325","1945","4/13/2021"
"34","GUJARAT","Dahod","Dahod","Wheat","147 Average","FAQ","1970","2250","2150","4/13/2021"
"35","GUJARAT","Dahod","Dahod","Wheat","Lokwan","FAQ","2000","2100","2050","4/13/2021"
"36","GUJARAT","Banaskanth","Deesa","Wheat","Other","FAQ","1730","2410","1875","4/13/2021"
"37","GUJARAT","Gandhinagar","Dehgam","Wheat","Other","FAQ","1700","2255","1977","4/13/2021"
"38","GUJARAT","Gandhinagar","Dehgam(Rekhiyal)","Wheat","Other","FAQ","1675","1875","1775","4/13/2021"
"39","GUJARAT","Sabarkantha","Dhansura","Wheat","Milbar","FAQ","1600","1800","1675","4/13/2021"
"40","GUJARAT","Rajkot","Dhoraji","Wheat","Lokwan","FAQ","1485","1680","1620","4/13/2021"
"41","GUJARAT","Bharuch","Jambusar","Wheat","Other","FAQ","2000","2400","2200","4/13/2021"
"42","GUJARAT","Junagarh","Junagadh","Wheat","Lokwan","FAQ","1500","1920","1700","4/13/2021"
"43","GUJARAT","Junagarh","Junagadh","Wheat","Sharbati","FAQ","1600","2150","1750","4/13/2021"
"44","GUJARAT","Kheda","Kapadvanj","Wheat","Other","FAQ","1600","1850","1725","4/13/2021"
"45","GUJARAT","Gandhinagar","Mansa","Wheat","Medium","FAQ","1400","2010","1775","4/13/2021"
"46","GUJARAT","Sabarkantha","Modasa","Wheat","Lokwan Gujrat","FAQ","1650","2105","1878","4/13/2021"
"47","GUJARAT","Sabarkantha","Modasa(Tintoi)","Wheat","Lokwan","FAQ","1550","2000","1775","4/13/2021"
"48","GUJARAT","Banaskanth","Palanpur","Wheat","Other","FAQ","1665","2305","1985","4/13/2021"
"49","GUJARAT","Bhavnagar","Palitana","Wheat","Hybrid","FAQ","1500","1740","1620","4/13/2021"
"50","GUJARAT","Banaskanth","Panthawada","Wheat","Other","FAQ","1655","2005","1830","4/13/2021"
"51","GUJARAT","Porbandar","Porbandar","Wheat","Lokwan","FAQ","1525","1655","1590","4/13/2021"
"52","GUJARAT","Porbandar","Porbandar","Wheat","Other","FAQ","1705","1935","1820","4/13/2021"
"53","GUJARAT","Rajkot","Rajkot","Wheat","Lokwan","FAQ","1650","1875","1760","4/13/2021"
"54","GUJARAT","Rajkot","Rajkot","Wheat","Sharbati","FAQ","1675","2075","1905","4/13/2021"
"55","GUJARAT","Amreli","Rajula","Wheat","PISSI","FAQ","1100","1825","1463","4/13/2021"
"56","GUJARAT","Patan","Sami","Wheat","Other","FAQ","1700","2375","1925","4/13/2021"
"57","GUJARAT","Patan","Siddhpur","Wheat","Hybrid","FAQ","1575","2625","2100","4/13/2021"
"58","GUJARAT","Anand","Tarapur","Wheat","Other","FAQ","1350","3100","1769","4/13/2021"
"59","GUJARAT","Banaskanth","Thara","Wheat","Other","FAQ","1540","1900","1720","4/13/2021"
"60","GUJARAT","Banaskanth","Thara(Shihori)","Wheat","Other","FAQ","1615","1710","1662.5","4/13/2021"
"61","GUJARAT","Anand","Umreth","Wheat","Deshi","FAQ","1500","1750","1740","4/13/2021"
"62","GUJARAT","Mehsana","Visnagar","Wheat","Other","FAQ","1500","2205","1852","4/13/2021"
"63","HARYANA","Sirsa","Ding","Wheat","Other","FAQ","1975","1975","1975","4/13/2021"
"64","HARYANA","Jind","Pillukhera","Wheat","Other","FAQ","1975","1975","1975","4/13/2021"
"65","HARYANA","Kurukshetra","Pipli","Wheat","WL711","FAQ","1975","1975","1975","4/13/2021"
"66","HARYANA","Ambala","Shahzadpur","Wheat","Other","FAQ","1975","1975","1975","4/13/2021"
"67","JHARKHAND","Lohardaga","Lohardaga","Wheat","Medium Fine","FAQ","2500","2800","2600","4/13/2021"
"68","JHARKHAND","Lohardaga","Lohardaga","Wheat","Medium","FAQ","1550","1850","1840","4/13/2021"
"69","KARNATAKA","Bagalkot","Bagalakot","Wheat","Sona","Medium","1811","2321","2159","4/13/2021"
"70","KERELA","Alappuzha","Alappuzha","Wheat","Other","FAQ","2000","2100","2050","4/13/2021"
"71","MADHYA PRADESH","Ratlam","A lot","Wheat","Medium","FAQ","1701","1812","1795","4/13/2021"
"72","MADHYA PRADESH","Bhind","Alampur","Wheat","Other","FAQ","1500","1755","1600","4/13/2021"
"73","MADHYA PRADESH","Satna","Amarpatan","Wheat","Other","FAQ","1640","1650","1645","4/13/2021"
"74","MADHYA PRADESH","Shajapur","Badod","Wheat","Other","FAQ","1975","1975","1975","4/13/2021"
"75","MADHYA PRADESH","Sagar","Bamora","Wheat","Other","FAQ","1840","1950","1900","4/13/2021"
"76","MADHYA PRADESH","Shivpuri","Barad","Wheat","Mill Quality","FAQ","1670","1670","1670","4/13/2021"
"77","MADHYA PRADESH","Gwalior","Bhitarwar","Wheat","Other","FAQ","1726","1795","1780","4/13/2021"
"78","MADHYA PRADESH","Guna","Binaganj","Wheat","Other","FAQ","1750","1825","1790","4/13/2021"
"79","MADHYA PRADESH","Gwalior","Dabra","Wheat","Other","FAQ","1780","1920","1850","4/13/2021"
"80","MADHYA PRADESH","Mandsaur","Garoth","Wheat","Other","FAQ","1975","1975","1975","4/13/2021"
"81","MADHYA PRADESH","Bhind","Gohad","Wheat","Other","FAQ","1750","1805","1780","4/13/2021"
"82","MADHYA PRADESH","Dindori","Gorakhpur","Wheat","Other","FAQ","1600","1600","1600","4/13/2021"
"83","MADHYA PRADESH","Morena","Jora","Wheat","Deshi","FAQ","1700","1750","1730","4/13/2021"
"84","MADHYA PRADESH","Dewas","Khategaon","Wheat","Other","FAQ","1780","2000","1890","4/13/2021"
"85","MADHYA PRADESH","Rajgarh","Khilchipur","Wheat","147 Average","FAQ","1975","1975","1975","4/13/2021"
