"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"1","JHARKHAND","Lohardaga","Lohardaga","White Peas","White Peas","FAQ","7500","8000","7800","4/13/2021"
"2","MADHYA PRADESH","Mandla","Bichhiya","White Peas","Other","FAQ","4800","4800","4800","4/13/2021"
"3","UTTAR PRADESH","Maharajganj","Anandnagar","White Peas","White Peas","FAQ","5610","5760","5680","4/13/2021"
"4","UTTAR PRADESH","Auraiya","Auraiya","White Peas","White Peas","FAQ","5000","5500","5300","4/13/2021"
"5","UTTAR PRADESH","Azamgarh","Azamgarh","White Peas","White Peas","FAQ","5625","5725","5670","4/13/2021"
"6","CHHATTISGARH","Balrampur","Balrampur","White Peas","White Peas","FAQ","6600","6800","6700","4/13/2021"
"7","HIMACHAL PRADESH","Hamirpur","Bharuasumerpur","White Peas","White Peas","FAQ","4900","5100","5000","4/13/2021"
"8","UTTAR PRADESH","Jhansi","Chirgaon","White Peas","White Peas","FAQ","4800","5250","4975","4/13/2021"
"9","","Gautam Budh Nagar","Dadri","White Peas","White Peas","FAQ","7200","7400","7300","4/13/2021"
"10","UTTAR PRADESH","Faizabad","Faizabad","White Peas","White Peas","FAQ","5950","6100","6000","4/13/2021"
"11","UTTAR PRADESH","Ghazipur","Gazipur","White Peas","White Peas","FAQ","6650","6690","6670","4/13/2021"
"12","UTTAR PRADESH","Gonda","Gonda","White Peas","White Peas","FAQ","5880","5920","5900","4/13/2021"
"13","UTTAR PRADESH","Jalaun (Orai)","Jalaun","White Peas","White Peas","FAQ","5100","5170","5150","4/13/2021"
"14","UTTAR PRADESH","Jalaun (Orai)","Konch","White Peas","White Peas","FAQ","4800","4900","4850","4/13/2021"
"15","UTTAR PRADESH","Lucknow","Lucknow","White Peas","White Peas","FAQ","6400","6600","6500","4/13/2021"
"16","HIMACHAL PRADESH","Hamirpur","Maudaha","White Peas","White Peas","FAQ","5000","5200","5100","4/13/2021"
"17","UTTAR PRADESH","Jhansi","Moth","White Peas","White Peas","FAQ","4700","4900","4820","4/13/2021"
"18","HIMACHAL PRADESH","Hamirpur","Muskara","White Peas","White Peas","FAQ","5050","5150","5100","4/13/2021"
"19","UTTAR PRADESH","Sonbhadra","Robertsganj","White Peas","White Peas","FAQ","6500","6730","6610","4/13/2021"
"20","UTTAR PRADESH","Ambedkarnagar","Tanda","White Peas","White Peas","FAQ","5800","5930","5850","4/13/2021"
"21","CHHATTISGARH","Balrampur","Utraula","White Peas","White Peas","FAQ","5900","5950","5925","4/13/2021"
"22","JHARKHAND","Lohardaga","Lohardaga","White Peas","White Peas","FAQ","7500","8000","7800","4/12/2021"
"23","UTTAR PRADESH","Maharajganj","Anandnagar","White Peas","White Peas","FAQ","5600","5750","5670","4/12/2021"
"24","UTTAR PRADESH","Auraiya","Auraiya","White Peas","White Peas","FAQ","5000","5500","5300","4/12/2021"
"25","UTTAR PRADESH","Azamgarh","Azamgarh","White Peas","White Peas","FAQ","5625","5725","5675","4/12/2021"
"26","UTTAR PRADESH","Ballia","Ballia","White Peas","White Peas","FAQ","6700","6780","6740","4/12/2021"
"27","HIMACHAL PRADESH","Hamirpur","Bharuasumerpur","White Peas","White Peas","FAQ","4700","4900","4800","4/12/2021"
"28","UTTAR PRADESH","Faizabad","Faizabad","White Peas","White Peas","FAQ","9300","9500","9400","4/12/2021"
"29","UTTAR PRADESH","Ghazipur","Gazipur","White Peas","White Peas","FAQ","6650","6700","6670","4/12/2021"
"30","UTTAR PRADESH","Ghaziabad","Ghaziabad","White Peas","White Peas","FAQ","7400","7500","7450","4/12/2021"
"31","UTTAR PRADESH","Gonda","Gonda","White Peas","White Peas","FAQ","5840","5860","5850","4/12/2021"
