"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"1","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","4/12/2021"
"2","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","4/9/2021"
"3","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","4/8/2021"
"4","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","4/6/2021"
"5","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1400","1200","4/6/2021"
"6","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","4/5/2021"
"7","ODISHA","Koraput","Koraput","White Pumpkin","Other","FAQ","1300","1500","1400","4/4/2021"
"8","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","850","800","4/3/2021"
"9","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1400","1200","4/3/2021"
"10","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","4/1/2021"
"11","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1400","1200","4/1/2021"
"12","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","3/31/2021"
"13","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1000","1400","1200","3/31/2021"
"14","ODISHA","Koraput","Koraput(Semilguda)","White Pumpkin","White Pumpkin","FAQ","1400","1600","1500","3/31/2021"
"15","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","800","600","3/31/2021"
"16","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","750","950","850","3/30/2021"
"17","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1200","1500","1400","3/30/2021"
"18","ODISHA","Koraput","Koraput","White Pumpkin","Other","FAQ","1300","1500","1400","3/30/2021"
"19","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","700","600","3/30/2021"
"20","KARNATAKA","Kolar","Malur","White Pumpkin","White Pumpkin","FAQ","800","1200","1004","3/29/2021"
"21","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1200","1500","1400","3/29/2021"
"22","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","700","600","3/29/2021"
"23","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","800","700","3/28/2021"
"24","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","500","800","700","3/27/2021"
"25","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","3/26/2021"
"26","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","3/26/2021"
"27","KARNATAKA","Udupi","Udupi","White Pumpkin","White Pumpkin","FAQ","1200","1500","1400","3/26/2021"
"28","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","300","700","600","3/26/2021"
"29","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","3/25/2021"
"30","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","700","600","3/25/2021"
"31","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","700","900","800","3/24/2021"
"32","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","400","700","600","3/24/2021"
"33","UTTAR PRADESH","Muzaffarnagar","Shahpur","White Pumpkin","White Pumpkin","FAQ","430","450","440","3/24/2021"
"34","KARNATAKA","Bangalore","Binny Mill (F&V), Bangalore","White Pumpkin","White Pumpkin","FAQ","800","1000","900","3/23/2021"
"35","TELANGANA","Hyderabad","Bowenpally","White Pumpkin","Other","FAQ","500","1000","900","3/23/2021"
